broken_url,campaign_name,ad_id,ad_status,historical_spend,historical_clicks,suggested_replacement
https://www.naturesseed.com/white-dutch-clover,US | Search | Product Ads,672953650506,ENABLED,8.60,4,https://naturesseed.com/products/clover-seed/white-dutch-clover/
https://www.naturesseed.com/blue-grama,US | Search | Product Ads,673049684138,ENABLED,7.90,7,https://naturesseed.com/products/grass-seed/blue-grama/
https://www.naturesseed.com/sonoran-desert-wildflower-mix,US | Search | Product Ads,673049859773,ENABLED,7.09,6,https://naturesseed.com/products/wildflower-seed/sonoran-desert-wildflower-mix/
https://www.naturesseed.com/low-growing-wildflower-mix,US | Search | Product Ads,673049838674,ENABLED,7.05,7,https://naturesseed.com/products/wildflower-seed/low-growing-wildflower-mix/
https://www.naturesseed.com/yellow-sweet-clover,US | Search | Product Ads,673049834108,ENABLED,6.96,5,https://naturesseed.com/products/clover-seed/yellow-sweet-clover/
https://www.naturesseed.com/smooth-brome,US | Search | Product Ads,673049807996,ENABLED,6.58,7,https://naturesseed.com/products/grass-seed/smooth-brome/
https://www.naturesseed.com/small-burnet,US | Search | Product Ads,672991738318,ENABLED,5.50,3,MANUAL REVIEW NEEDED
https://www.naturesseed.com/common-milkweed,US | Search | Product Ads,672991752910,ENABLED,5.48,6,https://naturesseed.com/products/wildflower-seed/common-milkweed/
https://www.naturesseed.com/native-fine-fescue-mix,US | Search | Product Ads,672953699448,ENABLED,5.29,4,https://naturesseed.com/products/grass-seed/native-fine-fescue-mix/
https://www.naturesseed.com/tall-wheatgrass,US | Search | Product Ads,672953663181,ENABLED,4.82,3,https://naturesseed.com/products/grass-seed/tall-wheatgrass/
https://www.naturesseed.com/pasture-seed/poultry-pastures/great-lakes-new-england-poultry-forage-mix/,Great Lakes / New England | Search | Pasture Seed,588245585453; 588245585450; 588245585447; 588245585441; 588245585444; 588245610212; 588245610215,PAUSED; ENABLED,4.63,4,https://naturesseed.com/products/pasture-seed/great-lakes-new-england-poultry-forage-mix/
