Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
pg-erfa,California Buckwheat Specialty Seed | Nature's Seed,specialty seed,california buckwheat,86.15,140,4.13,21.73,0.25
pb-swtd,Southwest Transitional Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,southwest transitional dryland pasture mix,86.02,151,0.19,46.72,0.54
gla_185210,Intermountain West Big Game Food Plot Mix,specialty seed,specialty seed by region,84.12,56,0.01,1.82,0.02
gla_185000,Pacific Northwest Bison Forage Mix,sale,bison pastures,83.99,54,0.5,26.38,0.31
gla_452930,Coastal Sage Scrub Mix Native California Drought-Tolerant Wildflower Seed 2 Lb for 2000 Sq Ft | Nature's Seed,pasture seeds,pasture seeds mix,83.88,50,0.33,43.99,0.52
w-peea-1-lb,Firecracker Penstemon - Wildflower Seed | Nature's Seed,wildflower seed,firecracker penstemon,83.34,174,0.49,34.8,0.42
pb-pnwpb-2000-f,Pacific Northwest Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,pacific northwest poultry forage blend,82.72,147,1.03,11.91,0.14
w-spco,Scarlet Globemallow Wildflower Seed | Nature's Seed,wildflower seed,scarlet globemallow,82.34,426,4.42,33.4,0.41
gla_186670,Zorro Fescue,sale,individual pasture species,81.81,80,0.01,2.55,0.03
turf-amity,Amity Tall Fescue Grass Seed | Nature's Seed,grass seed,amity tall fescue,81.71,149,0.47,46.53,0.57
gla_441153,California Native Erosion Control Mix,specialty seed,,81.36,59,1.0,72.31,0.89
gla_184334,South-Atlantic Transitional Honey Bee Pasture Mix,specialty seed,honey bee blends,80.5,96,4.0,73.8,0.92
pg-lope-10-lb,Perennial Ryegrass - Pasture Seed | Nature's Seed,pasture seed,perennial ryegrass,80.13,236,0.91,51.06,0.64
pb-gppg,Great Plains Pig Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains pig forage mix,79.85,109,2.83,33.71,0.42
wb-fm-1000-f,Flowering Meadow Mix - Wildflower Seed | Nature's Seed,wildflower seed,flowering meadow mix,78.67,87,1.0,11.86,0.15
gla_185523,Pacific Southwest Poultry Forage Mix,pasture seed,poultry pastures,77.48,87,1.0,28.62,0.37
gla_355766,Chickling Vetch,heartland collection,pasture seed by region,77.43,54,0.33,22.17,0.29
gla_185511,Mid-West/Mid-Atlantic Poultry Forage Mix,sale,poultry pastures,77.18,62,0.66,15.31,0.2
gla_451060,"Microclover Seed (Trifolium) | Self-Fertilizing Lawn Alter Native | 1 Lb for 1,000 Sq Ft | Nature's Seed",specialty seeds,clover seeds,77.11,55,0.5,50.24,0.65
gla_452370,"White Clover Seed (Trifolium repens) —Perennial Nitrogen-Fixing Groundcover & Forage 10 Lb for 20,000 Sq Ft | Nature's Seed",specialty seeds,clover seeds,76.27,47,1.0,36.97,0.48
gla_185601,Southwest Desert Poultry Forage Mix,pasture seed,poultry pastures,75.74,49,0.01,5.18,0.07
s-trre-0.25-a,White Dutch Clover - Grass Seed | Nature's Seed,grass seed,white dutch clover,75.47,136,3.37,42.4,0.56
gla_184742,Crested Wheatgrass,pasture seed,individual pasture species,74.44,130,0.7,21.29,0.29
pb-swdg-1-a,Southwest Desert Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert goat forage blend,74.09,97,0.04,4.22,0.06
gla_185306,Hairy Vetch,pasture seed,individual pasture species,73.78,64,0.88,46.02,0.62
gla_184807,Intermountain West Pollinator Mix,specialty seed,specialty seed by region,73.78,37,0.11,32.42,0.44
pb-gps-1-a,Great Plains Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains sheep forage blend,73.59,122,0.21,45.51,0.62
s-trre-1000-f,White Dutch Clover - Grass Seed | Nature's Seed,grass seed,white dutch clover,72.35,143,3.62,65.18,0.9
pg-hovu-1-lb,Barley - Pasture Seed | Nature's Seed,pasture seed,barley,72.25,166,2.48,25.13,0.35
pb-ssg-2.5-a,Southern Subtropics Goat Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics goat forage blend,72.23,128,0.04,5.15,0.07
gla_184552,White Clover Seeds,pasture seed,individual pasture species,71.81,56,0.2,7.52,0.1
gla_355761,Canada Wildrye,heartland collection,pasture seed by region,70.17,43,0.64,59.36,0.85
gla_184734,Bahia Grass,pasture seed,individual pasture species,69.63,85,0.21,50.58,0.73
pg-seit-25-lb,Foxtail Millet - Pasture Seed | Nature's Seed,pasture seed,foxtail millet,69.21,227,3.83,8.66,0.13
gla_185908,White Proso Millet,sale,individual pasture species,68.91,121,1.0,47.87,0.69
gla_186696,Purple Needle Grass Seed,pasture seed,individual pasture species,67.81,90,0.02,2.64,0.04
pb-ftec-1-a,Florida Tropics Erosion Control Blend - Specialty Seed | Nature's Seed,specialty seed,florida tropics erosion control blend,67.61,99,0.04,10.62,0.16
gla_185977,Desert Sand Verbena,great plains planting region,,67.57,53,3.05,53.61,0.79
turf-wht-1500-f,TWCA Water-Wise Heavy Traffic Mix - Grass Seed | Nature's Seed,grass seed,twca water-wise heavy traffic mix,67.42,104,1.0,5.11,0.08
gla_185188,Pacific Southwest Big Game Food Plot Mix,sale,specialty seed by region,67.4,63,0.25,19.82,0.29
