Product Item ID,Product Title,Product Type L1,Product Type L2,Total Impressions,Total Clicks,Total Cost ($),Total Conversions,Total Revenue ($),Total ROAS,CTR (%),Avg CPC ($),Conv Rate (%),Avg Order Value ($),Quarters Active,Campaigns,Matched Live ID,Match Type
gla_184640,Buffalograss,pasture seed,individual pasture species,169148,2759,2139.38,62.04,8641.93,4.04,1.63,0.78,2.25,139.30,4,9,gla_446613,title_contains
gla_445540,"California Native Fine Fescue Mix | Low Water, No-Mow Lawn Alter Native | 5 Lb 10,000 Sq Ft | Nature's Seed",lawn / turf seeds,home lawn/yard grass seed,127989,1267,1162.25,36.57,6405.81,5.51,0.99,0.92,2.89,175.17,3,4,gla_445540,id_exact
gla_446575,"California Wildflower Seed Blend 5 Lb for 10,000 Sq Ft Mix Native to California | Nature's Seed",wildflower seeds,regional wildflower mixes,19364,181,833.06,21.12,6297.13,7.56,0.93,4.60,11.67,298.16,3,4,gla_446575,id_exact
gla_445869,"Poultry Forage Mix Omega-3 Rich Clover & Alfalfa Blend for Chickens & Ducks 5 Lb for 10,000 Sq Ft | Nature's Seed",pasture seeds,pasture seeds mix,78835,1030,879.05,73.93,5474.24,6.23,1.31,0.85,7.18,74.05,3,4,gla_445869,id_exact
pg-phpr,Timothy,pasture seed,timothy,140386,1929,539.94,98.28,5433.48,10.06,1.37,0.28,5.09,55.29,8,19,gla_446601,title_contains
pg-buda,Buffalograss Pasture Seed,pasture seed,buffalograss,222468,2280,720.31,51.85,5077.36,7.05,1.02,0.32,2.27,97.92,8,19,gla_446613,title_contains
