Original Item ID,Original Title,Product Type,Campaign,Total Cost,Total Conversions
pg-rasa,Forage Radish Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,12.4,2
pg-brbi,Meadow Brome Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,12.26,0
pg-pegl2,Hybrid Pearl Millet,pasture seed,US | Performance Max | Forage Mixes,11.81,0
pb-ftbc,Florida Tropics Beef Cattle Forage Mix,pasture seed,US | Performance Max | Forage Mixes,10.84,0
w-basa,Arrowleaf Balsamroot,wildflower seed,US | Shopping | Catchall - Wildflower Seed,10.29,7
s-feru,Creeping Red Fescue Grass Seed | Nature's Seed,grass seed,Nat | PMax | Catch All,10.25,0
w-peea,Firecracker Penstemon,wildflower seed,US | Shopping | Catchall - Wildflower Seed,10.17,2
pb-ssh,Southern Subtropics Horse Forage Mix,pasture seed,US | Performance Max | Forage Mixes,10.08,0
pg-brin,Smooth Brome Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,9.93,3
pb-mwbc,Mid-West/Mid-Atlantic Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,9.87,0
pg-seit,Foxtail Millet Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,9.66,3
pb-swts,Southwest Transitional Sheep Forage Mix,pasture seed,US | Performance Max | Forage Mixes,9.48,0
pb-pnwg,Pacific Northwest Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,9.21,2
pg-feid,Idaho Fescue Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,8.95,0
w-soca,Canada Goldenrod Wildflower Seed | Nature's Seed,wildflower seed,Shopping | grass | ROAS,8.94,0
pb-ftg,Florida Tropics Goat Forage Mix,pasture seed,US | Performance Max | Forage Mixes,8.88,0.03
pg-brhi,White Mustard,pasture seed,US | Performance Max | Forage Mixes,8.55,3
pg-agde,Crested Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,8.24,1
pb-mwdc,Mid-West/Mid-Atlantic Dairy Cow Forage Mix,pasture seed,US | Performance Max | Forage Mixes,7.93,0
w-carh,Splitleaf Indian Paintbrush,wildflower seed,US | Shopping | Catchall - Wildflower Seed,7.92,1
pg-orhy,Indian Ricegrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.82,0
pg-kopr,Forage Kochia Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.8,0
w-lusp,Desert Lupine,wildflower seed,US | Shopping | Catchall - Wildflower Seed,7.49,0
pg-sobi,Grain Sorghum,pasture seed,US | Shopping | Catchall - Pasture Seed,7.41,1
pg-agsm,Western Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.33,0
pb-gpdc,Great Plains Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.19,0
pg-bocu,Sideoats Grama Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.14,0
pg-meof,Yellow Sweet Clover - Bulk bags available - No added filler,pasture seed,US | Performance Max | Forage Mixes,7.11,0
pb-glal,Great Lakes/New England Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,7.11,1
pg-bocu,Sideoats Grama,grass seed,Nat | PMax | Catch All,6.9,0
pb-fts,Florida Tropics Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.85,0
pb-gpbc,Great Plains Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.79,0
pb-iwbc,Intermountain West Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.7,1
pb-ssg,Southern Subtropics Goat Forage Mix,pasture seed,US | Performance Max | Forage Mixes,6.52,0
pb-iwg,Intermountain West Goat Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,6.39,0.5
