old_product_id,old_title,old_total_spend,old_total_revenue,old_roas,new_product_id,new_title,match_method,match_confidence
w-clgrt-n,Tracy's Clarkia Wildflower Seed | Nature's Seed,12.06,10.74,0.89,UNMATCHED,,none,none
pg-feid-n-25-lb,Idaho Fescue - Pasture Seed | Nature's Seed,25.08,10.64,0.42,gla_452928,"Coastal Sage Scrub Seed Mix - California Native Wildflower - 0.5 lb, Covers 2,000 sq ft | Nature's Seed",replacement_map,medium
pg-feid-n-25-lb,Idaho Fescue - Pasture Seed | Nature's Seed,25.08,10.64,0.42,gla_452929,"Coastal Sage Scrub Seed Mix - California Native Wildflower - 1 lb, Covers 1000 sq ft | Nature's Seed",replacement_map,medium
pg-feid-n-25-lb,Idaho Fescue - Pasture Seed | Nature's Seed,25.08,10.64,0.42,gla_452930,"Coastal Sage Scrub Seed Mix - California Native Wildflower - 2 lb, Covers 2000 sq ft | Nature's Seed",replacement_map,medium
pb-ftec-1-a,Florida Tropics Erosion Control Blend - Specialty Seed | Nature's Seed,67.61,10.62,0.16,UNMATCHED,,none,none
gla_184177,Munro Globemallow,7.46,10.18,1.36,UNMATCHED,,none,none
gla_452709,"Pet and Children Bluegrass Blend – Sustainable Turf, Low Maintenance Lawn Seed 5 Lb for 1,000 Sq Ft | Nature's Seed",152.19,10.13,0.07,gla_452707,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 10 lb, Covers 2,000 sq ft | Nature's Seed",direct_gla_id_match,high
gla_452709,"Pet and Children Bluegrass Blend – Sustainable Turf, Low Maintenance Lawn Seed 5 Lb for 1,000 Sq Ft | Nature's Seed",152.19,10.13,0.07,gla_452708,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 25 lb, Covers 5,000 sq ft | Nature's Seed",direct_gla_id_match,high
gla_452709,"Pet and Children Bluegrass Blend – Sustainable Turf, Low Maintenance Lawn Seed 5 Lb for 1,000 Sq Ft | Nature's Seed",152.19,10.13,0.07,gla_452709,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 5 lb, Covers 1,000 sq ft | Nature's Seed",direct_gla_id_match,high
gla_184231,Nelson Globemallow,6.69,10.08,1.51,UNMATCHED,,none,none
wb-dr,Deer Resistant Wildflower Mix,29.18,10.06,0.34,gla_446826,"Deer-Resistant Wildflower Seed Mix - Pollinator-Friendly Blooms - 0.5 lb,  | Nature's Seed",base_sku_match,high
wb-dr,Deer Resistant Wildflower Mix,29.18,10.06,0.34,gla_446827,"Deer-Resistant Wildflower Seed Mix - Pollinator-Friendly Blooms - 1 lb, Covers 2,000 sq ft | Nature's Seed",base_sku_match,high
wb-dr,Deer Resistant Wildflower Mix,29.18,10.06,0.34,gla_446828,"Deer-Resistant Wildflower Seed Mix - Pollinator-Friendly Blooms - 5 lb, Covers 10,000 sq ft | Nature's Seed",base_sku_match,high
w-enfa-50-p,Brittlebush - Wildflower Seed | Nature's Seed,1.22,10.06,8.25,UNMATCHED,,none,none
pb-sspb-1500-f,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,11.24,10.00,0.89,gla_445557,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map,medium
pb-sspb-1500-f,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,11.24,10.00,0.89,gla_445869,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map,medium
pb-sspb-1500-f,Southern Subtropics Poultry Forage Blend - Pasture Seed | Nature's Seed,11.24,10.00,0.89,gla_445261,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
w-cola-0.25-lb,Lance-Leaved Coreopsis - Wildflower Seed | Nature's Seed,1.72,9.98,5.80,UNMATCHED,,none,none
w-liru,Scarlet Flax,5.67,9.97,1.76,UNMATCHED,,none,none
gla_184242,Splitleaf Indian Paintbrush,25.24,9.87,0.39,UNMATCHED,,none,none
gla_184205,Rocky Mountain Penstemon,19.32,9.87,0.51,gla_445190,"Rocky Mountain Wildflower Seed Mix - Native Colorado & Western - 0.5 lb, Covers 1,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184205,Rocky Mountain Penstemon,19.32,9.87,0.51,gla_445438,"Rocky Mountain Wildflower Seed Mix - Native Colorado & Western - 1 lb, Covers 2,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184205,Rocky Mountain Penstemon,19.32,9.87,0.51,gla_446837,"Rocky Mountain Wildflower Seed Mix - Native Colorado & Western - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184349,Intermountain West Honey Bee Pasture Mix,38.95,9.71,0.25,gla_459553,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 10 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184349,Intermountain West Honey Bee Pasture Mix,38.95,9.71,0.25,gla_459555,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 20 lb, Covers 25,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184349,Intermountain West Honey Bee Pasture Mix,38.95,9.71,0.25,gla_459554,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 50 lb,  | Nature's Seed",replacement_map_title,medium
pg-sami-50-lb,Small Burnet - Pasture Seed | Nature's Seed,15.60,9.51,0.61,UNMATCHED,,none,none
w-orpu-1-lb,Owl’s Clover - Wildflower Seed | Nature's Seed,5.72,9.04,1.58,gla_459565,"Clover Food Plot Seed Mix - Duck & Quail Cover Crop - 10 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map,medium
w-orpu-1-lb,Owl’s Clover - Wildflower Seed | Nature's Seed,5.72,9.04,1.58,gla_459567,"Clover Food Plot Seed Mix - Duck & Quail Cover Crop - 20 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map,medium
w-orpu-1-lb,Owl’s Clover - Wildflower Seed | Nature's Seed,5.72,9.04,1.58,gla_459566,"Clover Food Plot Seed Mix - Duck & Quail Cover Crop - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map,medium
gla_185269,White Mustard,16.10,9.00,0.56,UNMATCHED,,none,none
pg-brca-n-1-lb,California Brome Grass - Pasture Seed | Nature's Seed,5.38,8.79,1.63,gla_447323,"California Native Fine Fescue Lawn Seed - No-Mow, Low-Water - 25 lb,  | Nature's Seed",replacement_map,medium
pg-brca-n-1-lb,California Brome Grass - Pasture Seed | Nature's Seed,5.38,8.79,1.63,gla_445540,"California Native Fine Fescue Lawn Seed - No-Mow, Low-Water - 5 lb,  | Nature's Seed",replacement_map,medium
pg-brca-n-1-lb,California Brome Grass - Pasture Seed | Nature's Seed,5.38,8.79,1.63,gla_447324,"California Native Fine Fescue Lawn Seed - No-Mow, Low-Water - 50 lb,  | Nature's Seed",replacement_map,medium
pb-satb,South-Atlantic Transitional Bison Forage Mix,14.11,8.72,0.62,gla_445281,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 10 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-satb,South-Atlantic Transitional Bison Forage Mix,14.11,8.72,0.62,gla_445850,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 20 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map_title,medium
pb-satb,South-Atlantic Transitional Bison Forage Mix,14.11,8.72,0.62,gla_445849,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
w-oepa,White Evening Primrose,5.52,8.69,1.57,UNMATCHED,,none,none
pg-seit-25-lb,Foxtail Millet - Pasture Seed | Nature's Seed,69.21,8.66,0.13,UNMATCHED,,none,none
gla_183857,Southwest Transitional Goat Forage Mix,46.01,8.55,0.19,gla_445281,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 10 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_183857,Southwest Transitional Goat Forage Mix,46.01,8.55,0.19,gla_445850,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 20 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_183857,Southwest Transitional Goat Forage Mix,46.01,8.55,0.19,gla_445849,"Horse Pasture Seed Mix - Cool-Adapted, No-Filler Forage - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map_title,medium
w-pesp3-5-p,Showy Penstemon - Wildflower Seed | Nature's Seed,6.44,8.42,1.31,UNMATCHED,,none,none
pg-eltr-n-25-lb,Creeping Wildrye - Pasture Seed | Nature's Seed,6.17,8.38,1.36,UNMATCHED,,none,none
gla_184464,Creeping Foxtail,6.60,8.14,1.23,UNMATCHED,,none,none
turf-wnw-2000-f,TWCA Water-Wise Northwest Mix - Grass Seed | Nature's Seed,11.54,8.00,0.69,gla_445284,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map,medium
turf-wnw-2000-f,TWCA Water-Wise Northwest Mix - Grass Seed | Nature's Seed,11.54,8.00,0.69,gla_445844,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 20 lb, Covers 40,000 sq ft | Nature's Seed",replacement_map,medium
