Year,Quarter,State/Region,Country,Campaign Name,Campaign ID,Impressions,Clicks,CTR,Cost ($),Conversions,Conv. Value ($),ROAS
2022,Q2022-01-01,AREA_OF_INTEREST,2840,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,12425316629,6,1,0.1666666667,1.59,0,0,0
2022,Q2022-01-01,LOCATION_OF_PRESENCE,2840,Intermountain West | Search | Pasture Seed,16595988440,70,2,0.02857142857,1.5,0,0,0
2022,Q2022-01-01,AREA_OF_INTEREST,2840,US | Shopping | Catchall - Wildflower Seed,11039642318,1971,23,0.01166920345,1.11,0,0,0
2022,Q2022-01-01,LOCATION_OF_PRESENCE,2124,Intermountain West | Search | Pasture Seed,16595988440,2,1,0.5,0.86,0,0,0
2022,Q2022-01-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Grass Seed,11038420983,2,0,0.00%,0,0,0,0
2022,Q2022-01-01,AREA_OF_INTEREST,2840,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,5,0,0.00%,0,0,0,0
2022,Q2022-01-01,LOCATION_OF_PRESENCE,2484,Pacific Southwest | Search | Pasture Seed,16595988443,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Nat | PMax | Catch All,16503493089,1366675,20544,0.01503210346,6119.95,1007.72,59837.29,9.78
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Search | Brand | ROAS,187765054,5828,2126,0.3647906658,3178.15,254.24,45570.8,14.34
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Performance Max | Forage Mixes,16219169257,363238,4075,0.01121853991,1941.85,96.33,17308.23,8.91
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Pasture Seed,11039637965,822462,7380,0.008973058938,1517.78,201.53,14862.76,9.79
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | DSA | Pasture Seed,11024785437,23330,2553,0.1094299186,1283.53,67.07,11284.33,8.79
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern States | Search | Warm-Season Grasses,17499169390,6641,431,0.06489986448,841.39,1,347.39,0.41
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | DSA | Grass Seed,12319589726,9440,450,0.04766949153,409.88,27.44,2925.43,7.14
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Wildflower Seed,11039642318,216786,1954,0.009013497182,231.05,28,766.95,3.32
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Specialty Seed,16219790392,76477,624,0.008159315873,224.73,18.68,4157.05,18.5
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Northwest | DSA | Forage Mixes and Pasture Seed,12118276038,1470,237,0.1612244898,206.08,5.5,1261.47,6.12
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,1354,183,0.135155096,190.91,8.67,2603.33,13.64
2022,Q2022-04-01,AREA_OF_INTEREST,2840,US | Performance Max | Forage Mixes,16219169257,23838,304,0.01275274771,157.71,2.83,5706.08,36.18
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | DSA | Wildflower Seed,12319589729,6349,122,0.01921562451,106.93,8,1038.59,9.71
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Intermountain West | DSA | Forage Mixes and Pasture Seed,12455938522,717,88,0.1227336123,73.59,1,130.99,1.78
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Nat | PMax | Catch All,16503493089,19761,212,0.01072820201,63.19,5.99,513.95,8.13
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Southwest | DSA | Forage Mixes and Pasture Seed,12455805507,322,31,0.09627329193,47.51,3,844.59,17.78
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Desert | DSA | Forage Mixes and Pasture Seed,12453610238,316,58,0.1835443038,46.86,0.43,158.66,3.39
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,12425316629,1111,80,0.07200720072,43.94,1,211.17,4.81
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern Subtropics | DSA | Forage Mixes and Pasture Seed,12428489722,356,52,0.1460674157,43.28,3,521.45,12.05
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Florida Tropics | DSA | Forage Mixes and Pasture Seed,12453606893,235,34,0.1446808511,36.55,1.33,812.97,22.24
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Northwest | Shopping | Forage Mixes,12121251997,5155,95,0.01842870999,33.36,2,193.66,5.81
2022,Q2022-04-01,AREA_OF_INTEREST,2840,US | Shopping | Catchall - Pasture Seed,11039637965,17906,162,0.009047246733,24.55,2.64,374.81,15.27
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Desert | Shopping | Forage Mixes,12455902689,2486,61,0.02453740949,23.12,0.43,158.66,6.86
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Intermountain West | Shopping | Forage Mixes,12455902683,4002,57,0.01424287856,19.93,4.75,1813.23,90.98
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,US | Performance Max | Forage Mixes,16219169257,361,34,0.09418282548,17.98,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,South-Atlantic Transitional | DSA | Forage Mixes and Pasture Seed,12425316635,348,30,0.08620689655,15.78,1,326.47,20.69
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Grass Seed,11038420983,2364,44,0.01861252115,14.6,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Intermountain West | Search | Pasture Seed,16595988440,243,13,0.05349794239,14.37,0.75,193.8,13.49
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Great Lakes / New England | Search | Pasture Seed,16583838906,209,10,0.04784688995,11.67,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,US | Shopping | Catchall - Wildflower Seed,11039642318,8107,90,0.01110151721,10.46,1,9.97,0.95
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,US | Display | RMK,15233962443,4685,3,0.0006403415155,10.44,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern States | DSA | Warm-Season Grasses,12713296013,424,15,0.03537735849,9.96,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Northwest | Performance Max | Pasture Seed,16806278826,862,12,0.01392111369,9.65,0.33,174.26,18.06
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Great Plains | DSA | Forage Mixes and Pasture Seed,12453610247,113,15,0.1327433628,7.81,1,354.64,45.41
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Intermountain West | Performance Max | Pasture Seed,16806430758,312,7,0.02243589744,6.55,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,US | Shopping | Catchall - Specialty Seed,16219790392,3855,21,0.005447470817,6.52,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2124,US | Performance Max | Forage Mixes,16219169257,183,14,0.07650273224,6.51,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern Subtropics | Search | Pasture Seed,16595988446,183,5,0.02732240437,5.29,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,Great Lakes / New England | Search | Pasture Seed,16583838906,138,8,0.05797101449,4.2,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern States | Shopping | Warm-Season Grasses,12713197828,12430,22,0.001769911504,2.65,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Southwest | Shopping | Forage Mixes,12455805510,630,7,0.01111111111,1.88,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,12455893806,9,2,0.2222222222,1.84,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Southwest | Search | Pasture Seed,16595988443,121,3,0.02479338843,1.7,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Great Lakes / New England | Shopping | Forage Mixes,12455902698,112,3,0.02678571429,1.39,0,0,0
