sku,name,status,revenue_q1q2,customer_count,units_sold
PB-SSS,Southern Subtropics Sheep Forage Mix - 1/2 Acre,PHASED_OUT,4802.4,8,12
PG-DAGL-10-LB-OLD,Orchard Grass Seed - 10 lbs,PHASED_OUT,4722.03,60,79
PB-PSWH-2.5-A,Pacific Southwest Horse Forage Mix - 2.5 Acres,PHASED_OUT,4712.03,13,19
S-FEOV-50-LB-OLD,Sheep Fescue Grass - 50 lbs,PHASED_OUT,4593.75,7,13
TURF-WBB-0.25-A,TWCA Water-Wise Bluegrass Blend - 1/4 Acre,PHASED_OUT,4316.25,13,14
PB-GOAT-T-50-LB-OLD,South-Atlantic Transitional Goat Forage Mix - 2.5 Acres,PHASED_OUT,4312.77,11,13
PG-TRRE-50-LB,White Clover Seeds - 50 lbs,PHASED_OUT,4305.0,7,13
W-ESCA-OLD-T,"California Poppy Seeds - 0.25lbs, Native Variety",PHASED_OUT,4196.79,58,158
TURF-NFF-500-F-OLD,Native Fine Fescue Mix - 1 lb,PHASED_OUT,4151.99,38,45
S-FEOV-1-LB-OLD,Sheep Fescue Grass - 1 lb,PHASED_OUT,4061.63,198,412
WB-CCN-2000-F-OLD,California Coastal Native Wildflower Mix - 2000 ft²,PHASED_OUT,3794.58,35,41
PB-GPD-2.5-A,Great Plains Dryland Pasture Mix - 2.5 Acres,PHASED_OUT,3627.91,9,11
PB-GLH-20-LB,Great Lakes/New England Horse Forage Mix - 20 lbs,PHASED_OUT,3557.32,20,25
PB-MWS-2.5-A,Mid-West/Mid-Atlantic Sheep Forage Mix - 2.5 Acres,PHASED_OUT,3549.46,6,8
WB-LG-2000-F,Low Growing Wildflower Mix - 2000 ft²,PHASED_OUT,3446.59,65,91
TURF-NW-2000-F,Northwest Seed Mix - 2000 ft²,PHASED_OUT,3322.31,22,24
PG-BRBI-50-LB,Meadow Brome - 50 lbs,PHASED_OUT,3257.25,5,9
PB-CNEC-10-LB-OLD,California Native Erosion Control Mix - 10 lbs,PHASED_OUT,3172.63,5,9
PB-TORT-5000-F-OLD,"Tortoise Forage Mix - 5000 ft², Standard Mix",PHASED_OUT,3164.57,14,15
TURF-SS,Sun and Shade Grass Seed Mix - 500 ft²,PHASED_OUT,3155.75,42,76
PB-GOAT-T-20-LB-OLD,South-Atlantic Transitional Goat Forage Mix - 1 Acre,PHASED_OUT,3125.69,17,17
PB-IWD-0.5-A,Intermountain West Dryland Pasture Mix - 1/2 Acre,PHASED_OUT,3035.53,18,29
PB-MWS-1-A,Mid-West/Mid-Atlantic Sheep Forage Mix - 1 Acre,PHASED_OUT,3001.6,14,16
PB-GLH-10-LB,Great Lakes/New England Horse Forage Mix - 10 lbs,PHASED_OUT,2991.07,20,29
TURF-BUDA-2000-F,Buffalograss Seed Blend - 2000 ft²,PHASED_OUT,2966.94,7,7
PB-SATD-2.5-A,South-Atlantic Transitional Dryland Pasture Mix - 2.5 Acres,PHASED_OUT,2934.84,7,10
TURF-LOPE-1000-F,Perennial Ryegrass Seed Blend - 1000 ft²,PHASED_OUT,2900.43,28,33
PB-GLHB-2.5-A,Great Lakes/New England Honey Bee Pasture Mix - 2.5 Acres,PHASED_OUT,2888.92,5,8
PB-SATH-1-A,South-Atlantic Transitional Horse Forage Mix - 1 Acre,PHASED_OUT,2877.02,13,15
PB-SSS-1-A,Southern Subtropics Sheep Forage Mix - 1 Acre,PHASED_OUT,2872.89,11,12
PB-MWPB-2.5-A,Mid-West/Mid-Atlantic Poultry Forage Mix - 2.5 Acres,PHASED_OUT,2855.48,12,12
PG-MESA-10-LB-OLD,Alfalfa Seeds - 10 lbs,PHASED_OUT,2852.98,39,40
S-AGPA8-OLD,San Diego Bentgrass - 1 lbs,PHASED_OUT,2820.27,11,21
PB-PNWP,Pacific Northwest Pollinator Mix - 5000 ft²,PHASED_OUT,2774.54,26,37
TURF-SS-2000-F,Sun and Shade Grass Seed Mix - 2000 ft²,PHASED_OUT,2710.55,24,24
PG-BOGR-OLD,Blue Grama - 1 lb,PHASED_OUT,2707.32,29,62
TURF-LOPE-500-F,Perennial Ryegrass Seed Blend - 500 ft²,PHASED_OUT,2707.1,42,52
TURF-NFF-5000-F-OLD,Native Fine Fescue Mix - 5000 ft²,PHASED_OUT,2698.16,4,4
PG-PHPR-50-LB-OLD,Timothy Grass Seed - 50 lbs,PHASED_OUT,2687.5,8,10
PG-MESA-25-LB-OLD,Alfalfa Seeds - 25 lbs,PHASED_OUT,2650.83,18,18
WB-DR-OLD,Deer Resistant Wildflower Mix - 500 ft²,PHASED_OUT,2620.7,125,133
PG-FEAR2-10-LB-OLD,Tall Fescue - 10 lbs,PHASED_OUT,2600.74,30,50
PG-PEAS-50-LB,Field Pea - 50 lbs,PHASED_OUT,2600.0,14,28
PB-MWS-0.5-A,Mid-West/Mid-Atlantic Sheep Forage Mix - 1/2 Acre,PHASED_OUT,2597.56,17,21
PB-GPG-0.5-A,Great Plains Goat Forage Mix - 1/2 Acre,PHASED_OUT,2581.89,23,23
TURF-FF,Fine Fescue Grass Seed Mix - 5 lbs,PHASED_OUT,2579.36,33,65
PB-CHM-10-LB-OLD,California Habitat Mix - 10 lbs,PHASED_OUT,2565.72,2,4
PB-SATPB,South-Atlantic Transitional Poultry Forage Mix - 500 ft²,PHASED_OUT,2564.94,33,34
PG-BUDA-10-LB-OLD,Buffalograss - 10 lbs,PHASED_OUT,2541.12,5,6
PG-MESA-1-LB-OLD,Alfalfa Seeds - 1 lb,PHASED_OUT,2531.99,170,343
PB-SATDC,South-Atlantic Transitional Dairy Cow Forage Mix - 2.5 Acres,PHASED_OUT,2512.98,13,14
TURF-TALL-6-LB,Triple-Play Turf Type Tall Fescue Seed Blend - 500 ft²,PHASED_OUT,2511.19,29,84
W-ACLA-1-LB-OLD,"Western Yarrow - 1lbs, Native Variety",PHASED_OUT,2499.63,6,28
PG-PAVI-OLD,Switchgrass Seed - 10 lbs,PHASED_OUT,2498.69,18,25
S-INNOC-50-LB-OLD,Am 120 Standard Mycorrhizal Inoculant - 50 lbs,PHASED_OUT,2486.24,4,5
PB-GPG,Great Plains Goat Forage Mix - 1 Acre,PHASED_OUT,2441.9,11,13
PG-LOCO-10-LB,Birdsfoot Trefoil - 10 lbs,PHASED_OUT,2439.36,19,20
CV-CNFW-5-LB-OLD,California Native Fire-Wise Mix,PHASED_OUT,2399.88,2,12
PG-PANO-50-LB-OLD,Bahia Grass - 50 lbs,PHASED_OUT,2319.63,2,4
WB-RM-2000-F-OLD,Rocky Mountain Wildflower Mix - 2000 ft²,PHASED_OUT,2308.01,29,50
S-FERUC-1-LB,Chewings Fescue Grass - 1 lbs,PHASED_OUT,2281.99,30,39
PB-GPH-2.5-A,Great Plains Horse Forage Mix - 2.5 Acres,PHASED_OUT,2274.06,5,6
PB-MWAL-2.5-A,Mid-West/Mid-Atlantic Alpaca/Llama Forage Mix - 2.5 Acres,PHASED_OUT,2217.13,4,5
PB-SHEP-N-10-LB-,Intermountain West Sheep Forage Mix - 1/2 Acre,PHASED_OUT,2216.22,15,20
PB-SSPB-1-A,Southern Subtropics Poultry Forage Mix - 1 Acre,PHASED_OUT,2204.74,11,13
PG-DAGL-OLD,Orchard Grass Seed - 25 lbs,PHASED_OUT,2163.72,14,29
PG-CYDA-10-LB-OLD,Common Bermudagrass - 10 lbs,PHASED_OUT,2150.59,4,15
PB-SATPB-1-A,South-Atlantic Transitional Poultry Forage Mix - 1 Acre,PHASED_OUT,2139.7,12,13
PB-IWH-10-LB,Intermountain West Horse Forage Mix - 1/2 Acre,PHASED_OUT,2127.22,6,19
TURF-WBB,TWCA Water-Wise Bluegrass Blend - 5 lbs,PHASED_OUT,2124.75,17,25
PB-PSWS-2.5-A,Pacific Southwest Sheep Forage Mix - 2.5 Acres,PHASED_OUT,2060.7,6,7
TURF-POPR-0.25-A,Velvet Blue Seed Blend - 1/4 Acre,PHASED_OUT,2059.23,9,9
PB-GLS,Great Lakes/New England Sheep Forage Mix - 1 Acre,PHASED_OUT,2040.79,8,10
TURF-NW-1000-F,Northwest Seed Mix - 1000 ft²,PHASED_OUT,2025.16,23,25
PG-LOPE-50-LB-OLD,Perennial Ryegrass - 50 lbs,PHASED_OUT,2025.0,5,9
PG-TRRE-1-LB,White Clover Seeds - 1 lb,PHASED_OUT,1988.08,124,221
PG-CYDA-50-LB-OLD,Common Bermudagrass - 50 lbs,PHASED_OUT,1959.38,2,4
W-SPAM-1-LB,Desert Globemallow - 1lbs,PHASED_OUT,1949.76,1,16
TURF-BUDA-5000-F,Buffalograss Seed Blend - 5000 ft²,PHASED_OUT,1941.19,2,2
PB-GPPB,Great Plains Poultry Forage Mix - 1 Acre,PHASED_OUT,1939.48,32,34
WB-OLGN-500-F,Ornamental Low Growing Native Mix - 500 ft²,PHASED_OUT,1937.58,37,56
PG-PAVI-1-LB-OLD,Switchgrass - 1 lb,PHASED_OUT,1937.33,54,114
TURF-SST-5000-F,Southern Sports Turf Mix - 5000 ft²,PHASED_OUT,1918.16,3,4
PB-IWWFR-2.5-A,Intermountain West Wildfire Resistant Mix - 2.5 Acres,PHASED_OUT,1907.66,2,2
WB-SE-2000-F,Southeast Wildflower Mix - 2000 ft²,PHASED_OUT,1856.99,23,42
PG-BOGR-10-LB-OLD,Blue Grama - 10 lbs,PHASED_OUT,1847.8,5,5
PB-SSPB-0.5-A,Southern Subtropics Poultry Forage Mix - 1/2 Acre,PHASED_OUT,1842.23,18,18
PB-PNWP-500-F,Pacific Northwest Pollinator Mix - 500 ft²,PHASED_OUT,1832.16,60,79
