old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold
PG-PEGL2-10-LB,Hybrid Pearl Millet - 10 lbs,,54.38,1,1
W-LAOD,Sweet Pea - 5 Pack,,53.86,5,10
W-LIGR-1-LB,Mountain Phlox - 1lbs,,53.72,1,1
PG-ECES-1-LB,Japanese Millet - 1 lb,,53.55,6,11
PG-CALO-1-LB,Prairie Sand Reed - 1 lb,,53.35,2,3
W-DIPU-0.25-LB,Purple Foxglove - 0.25lbs,,53.13,1,1
PG-LASA,Chickling Vetch - 1 lb,,53.02,6,9
W-LIRU-1-LB,Scarlet Flax - 1lbs,,52.43,1,1
W-AMCA-0.25-LB,Lead Plant - 0.25lbs,,52.19,1,1
W-GICA-0.25-LB,Globe Gilia - 0.25lbs,,51.99,3,3
W-HEWH-0.5-LB,Chaparral Yucca - 0.5lbs,,51.71,1,1
W-HEWH-0.25-LB,Chaparral Yucca - 0.25lbs,,49.74,2,2
W-SPCO2-0.25-LB,Coulter's Globemallow - 0.25lbs,,47.91,4,4
W-NEMA,Five Spot - 1 Pack,,47.53,9,16
W-VETE-0.25-LB,Moss Verbena - 0.25lbs,,47.42,1,1
W-VEST-0.25-LB,Hoary Vervain - 0.25lbs,,47.19,1,1
W-LIRU-0.5-LB,Scarlet Flax - 0.5lbs,,46.71,2,2
W-VIMU,Showy Goldeneye - 1 Pack,,46.23,6,15
W-CLWI-N,Fort Miller Clarkia - 1 Pack,,46.05,6,17
W-PEPA,Palmer's Penstemon - 1 Pack,,46.03,6,17
W-PARH,Shirley Poppy - 1 Pack,,44.25,4,17
PG-VISA,Common Vetch - 1 lb,,43.5,3,3
PG-BROL-10-LB,Collards - 10 lbs,,43.13,1,1
W-SPCO2-0.5-LB,Coulter's Globemallow - 0.5lbs,,43.06,1,2
W-SACO-0.25-LB,Scarlet Sage - 0.25lbs,,42.5,1,2
W-ASSY,Common Milkweed - 1 Pack,,41.95,10,14
W-HEAU-0.25-LB,Sneezeweed - 0.25lbs,,41.5,1,1
PG-BEVU-1-LB,Sugar Beets - 1 lb,,41.25,3,3
W-ARPL-0.25-LB,Prickly Poppy - 0.25lbs,,40.58,2,2
W-LIMA,Baby Snapdragon - 1 Pack,,40.5,8,13
PG-PAMI-1-LB,White Proso Millet - 1 lbs,,39.75,8,12
W-LIGR-0.25-LB,Mountain Phlox - 0.25lbs,,39.72,2,2
W-ENFA-OLD,Brittlebush - 1 Pack,,35.0,6,10
PG-ABES-1-LB,Okra - 1 lb,,34.87,5,5
W-LODI-0.25-LB,Fernleaf Biscuitroot - 0.25lbs,,34.71,1,1
W-NATR,Nasturtium Seeds - 1 Pack,,33.38,7,11
W-CACI2-N,Red Maids - 1 Pack,,32.05,8,11
W-VETE-1-LB,Moss Verbena - 1lbs,,29.99,1,1
PG-ASCI-1-LB,Cicer Milkvetch - 1 lb,,28.56,3,3
W-SEMA2-0.25-LB,Maryland Senna - 0.25lbs,,27.5,1,1
W-LAFR4-N,Fremont's Goldfields - 1 Pack,,27.0,2,6
W-VETE-0.5-LB,Moss Verbena - 0.5lbs,,25.98,2,2
PG-HOVU-1-LB,Barley - 1 lb,,25.4,5,14
W-AQCO,Colorado Columbine - 1 Pack,,24.15,6,8
W-GRCA-N-0.25-LB,Gum Plant - 0.25lbs,,24.08,1,1
W-SIAR-1-LB,Sweet William Catchfly - 1lbs,,23.45,1,1
W-ENFA-0.5-LB-OLD,Brittlebush - 0.5lbs,,22.38,1,1
W-DIPU,Purple Foxglove - 1 Pack,,20.95,5,7
W-HEBO,Utah Sweetvetch - 1 Pack,,19.0,5,6
W-HEWH,Chaparral Yucca - 1 Pack,,18.75,3,7
W-MOCI,Lemon Mint - 1 Pack,,18.0,2,6
PG-CRJU-1-LB,Sunn Hemp - 1 lb,,17.19,3,3
W-COTI,Plains Coreopsis - 1 Pack,,16.0,4,5
W-LUAR,Arizona Lupine - 1 Pack,,15.75,2,6
W-GYEL,Baby’s Breath - 1 Pack,,14.9,2,5
W-OEBI,Yellow Evening Primrose - 1 Pack,,14.24,2,6
W-LIGR,Mountain Phlox - 1 Pack,,13.65,3,5
W-SPAM,Desert Globemallow - 1 Pack,,12.0,3,4
PG-KALE-1-LB,Kale - 1 lb,,7.5,1,1
W-ESME,Mexican Gold Poppy - 1 Pack,,7.2,1,3
W-VETE,Moss Verbena - 1 Pack,,6.0,1,2
W-ARPL,Prickly Poppy - 1 Pack,,3.5,1,1
W-ASLA,Smooth Aster - 1 Pack,,3.5,1,1
W-LISP,Spiked Gayfeather - 1 Pack,,3.0,1,1
W-SIAR,Sweet William Catchfly - 1 Pack,,3.0,1,1
W-PHIM-N,Imbricate Phacelia - 1 Pack,,3.0,1,1
W-GRST3-N,Coastal Gumweed - 1 Pack,,3.0,1,1
W-ASSP,Showy Milkweed - 1 Pack,,2.98,1,1
W-OEHO,Hooker's Evening Primrose - 1 Pack,,2.55,1,1
PG-PEGL2,Hybrid Pearl Millet - 25 lbs,,0.0,1,1
