old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold,new_sku,new_name,new_categories,new_permalink,new_price,new_image,match_score,replacement_notes
PG-CHIN-10-LB,Forage Chicory - 10 lbs,,1528.0,19,21,PB-TORT,Tortoise Forage &amp; Habitat Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,40,
S-FERU-1-LB,"Red Fescue Grass - 1 lb, Native Variety",,1523.8,36,112,PB-CABIN,Native Cabin Grass Seed Mix,"Food Plot Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/,43.99,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,80,
PB-HRSE-N-OLD,Northern Horse Pasture Mix,,1511.83,7,17,PB-HRSE-N,Cool Season Horse Pasture Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-cold-season/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/NHORSE-1.webp,110,
S-MICRO-500-F-OLD,Micro Clover Seed - 500 ft²,,1500.98,60,69,S-MICRO,Micro Clover Seed (Mini Clover),"All Seed, Clover Seed",https://naturesseed.com/products/clover-seed/microclover/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/microclover-2.png,50,
S-RICE-OLD,Rice Hulls - 45 lbs,,1483.72,13,16,S-RICE-25-LB-ADDON,"Rice Hulls: Improve Seed Contact, Germination & Hold Moisture",All Seed,https://naturesseed.com/products/planting-aids/rice-hulls-improve-seed-contact-germination-hold-moisture/,69.99,https://naturesseed.com/wp-content/uploads/2025/08/Rice-Hulls-Bag.png,20,
TURF-WNW,TWCA Water-Wise Northwest Mix - 1000 ft²,,1481.47,9,11,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,30,
PB-GLBC-1-A,Great Lakes/New England Beef Cattle Forage Mix - 1/2 Acre,,1479.87,9,17,PB-COW-NTR,Cool Season Cattle Pasture Seed Mix,"Pasture Seed, All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/NCOW-Main.webp,70,
TURF-POPR,Velvet Blue Seed Blend - 2000 ft²,,1449.21,18,21,W-SIBE,Blue-Eyed Grass Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,40,
PB-PSWH-0.5-A,Pacific Southwest Horse Forage Mix - 1/2 Acre,,1437.65,12,16,PB-HRSE-SO,Warm Season Horse Pasture Mix,"Pasture Seed, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SHORSE.webp,100,
PB-CNEC-1-LB-OLD,California Native Erosion Control Mix - 1 lbs,,1435.02,26,35,CV-CNEC,California Native Erosion Control Mix,"Specialty Seed, All Seed, California Collection",https://naturesseed.com/products/specialty-seed/california-native-erosion-control-mix/,205.88,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_2497091527-scaled-1.jpg,130,
PG-AGSP-50-LB,Bluebunch Wheatgrass - 50 lbs,,1434.38,1,2,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,All Seed,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,60,
WB-BEP-2000-F,Western Native Pollinator Wildflower Mix - 2000 ft²,,1426.97,16,28,WB-XCVP,Central Valley Pollinator Wildflower Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/central-valley-pollinator-mix-xerces-society/,58.82,https://naturesseed.com/wp-content/uploads/2025/09/Xerces.png,50,
PB-PSWG-1-A,Pacific Southwest Goat Forage Mix - 1 Acre,,1421.0,6,7,PB-GOAT-TR,Goat Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Goat Pasture Seed",https://naturesseed.com/products/pasture-seed/goat-pasture-forage-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/TGOAT.webp,80,
WB-LG-500-F,Low Growing Wildflower Mix - 500 ft²,,1415.72,79,87,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,40,
PG-FEAR2-25-LB-OLD,Tall Fescue - 25 lbs,,1397.45,14,31,PG-FEAR2,Tall Fescue Grass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,50,
PG-PHPR-OLD,Timothy Grass Seed - 25 lbs,,1388.15,20,27,PG-PHPR,Timothy Grass Hay Seed,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/timothy/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TimothyGrass-plant.jpg,80,
PG-ANGE-1-LB,Big Bluestem Grass Seed - 1 lb,,1364.07,34,70,W-SIBE,Blue-Eyed Grass Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,70,
PB-GPHB-1-A,Great Plains Honey Bee Pasture Mix - 1 Acre,,1361.49,8,8,PB-HONEY,Honey Bee Cover Crop &amp; Pasture Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Specialty Seed",https://naturesseed.com/products/pasture-seed/honey-bee-cover-crop-pasture-mix/,59.99,https://naturesseed.com/wp-content/uploads/2025/07/HONEY.webp,60,
PB-SWDHB-0.5-A,Southwest Desert Honey Bee Pasture Mix - 1/2 Acre,,1355.4,12,17,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,70,
TURF-FF-1500-F,Fine Fescue Grass Seed Mix - 1500 ft²,,1353.67,14,16,TURF-FINE,Fine Fescue Grass Seed Mix,"All Seed, Northern Lawn, Lawn Seed",https://naturesseed.com/products/grass-seed/fine-fescue-grass-seed-mix/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/Fescue.png,90,
WB-XCVP-1-LB-OLD,Xerces Central Valley Pollinator Mix - 1 lbs,,1342.42,9,10,WB-XCVP,Central Valley Pollinator Wildflower Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/central-valley-pollinator-mix-xerces-society/,58.82,https://naturesseed.com/wp-content/uploads/2025/09/Xerces.png,30,
PB-SHEP-TR-OLD,Transitional Sheep Pasture Mix,,1322.85,7,15,PB-SHEP-TR,Transitional Zone Sheep Pasture Mix,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-transitional/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/TSHEEP.webp,90,
PG-ANGE,Big Bluestem Grass Seed - 25 lbs,,1322.2,5,16,W-SIBE,Blue-Eyed Grass Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,70,
PB-GPHB-2.5-A,Great Plains Honey Bee Pasture Mix - 2.5 Acres,,1319.98,3,4,PB-HONEY,Honey Bee Cover Crop &amp; Pasture Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Specialty Seed",https://naturesseed.com/products/pasture-seed/honey-bee-cover-crop-pasture-mix/,59.99,https://naturesseed.com/wp-content/uploads/2025/07/HONEY.webp,60,
TURF-WNS-1000-F,TWCA Water-Wise Northern Sports Mix - 1000 ft²,,1308.78,6,11,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,30,
TURF-POPR-5000-F,Velvet Blue Seed Blend - 5000 ft²,,1292.48,8,8,W-SIBE,Blue-Eyed Grass Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,40,
PB-PNWHB-50-LB,Pacific Northwest Honey Bee Pasture Mix - 2.5 Acres,,1290.19,4,4,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,70,
PB-GPH,Great Plains Horse Forage Mix - 1 Acre,,1287.57,7,7,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,70,
PB-GPHB-0.5-A,Great Plains Honey Bee Pasture Mix - 1/2 Acre,,1284.56,12,13,PB-HONEY,Honey Bee Cover Crop &amp; Pasture Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Specialty Seed",https://naturesseed.com/products/pasture-seed/honey-bee-cover-crop-pasture-mix/,59.99,https://naturesseed.com/wp-content/uploads/2025/07/HONEY.webp,60,
PB-GLBC,Great Lakes/New England Beef Cattle Forage Mix - 1 Acre,,1257.2,6,6,PB-COW-NTR,Cool Season Cattle Pasture Seed Mix,"Pasture Seed, All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/NCOW-Main.webp,70,
WB-NE-0.5-LB,Northeast Wildflower Mix - 1000 ft²,,1254.74,20,26,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,40,
PB-PIG-OLD,Pasture Pig Mix,,1246.36,7,14,PB-PIG,Pig Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/pig-pasture-forage-mix/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/PIG-1.webp,80,
PB-IWBC-10-LB,Intermountain West Beef Cattle Forage Mix - 1/2 Acre,,1239.04,10,11,PB-COW-NTR,Cool Season Cattle Pasture Seed Mix,"Pasture Seed, All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-cold-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/NCOW-Main.webp,70,
PG-SCSC-50-LB,Little Bluestem - 50 lbs,,1237.5,2,2,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,All Seed,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,30,
PB-MWH,Mid-West/Mid-Atlantic Horse Forage Mix - 1/2 Acre,,1229.18,7,10,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,70,
PB-SWDPB-10-LB,Southwest Desert Poultry Forage Mix - 1/2 Acre,,1217.26,11,16,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PG-LOPE-10-LB-OLD,Perennial Ryegrass - 10 lbs,,1211.33,13,22,PG-LOPE,Perennial Ryegrass,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/PerennialRyegrass-Crop.png,80,
TURF-LM-500-F,Low Maintenance Seed Mix - 500 ft²,,1206.26,18,28,TURF-W-TALL-BUNDLE,Pet & Kid Friendly Low-Maintenance Fescue Lawn Bundle,"Lawn Seed, All Seed",https://naturesseed.com/product/bundle/pet-kid-friendly-fescue-lawn-bundle/,159.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_fescue_bundle-1.png,20,
W-ASFA-N-1-LB-OLD,Narrowleaf Milkweed - 1lbs,,1206.0,1,2,W-ASFA,Narrowleaf Milkweed Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",https://naturesseed.com/products/wildflower-seed/narrowleaf-milkweed/,100.99,https://naturesseed.com/wp-content/uploads/2025/07/Asclepias-fascicularis.png,20,
PB-SSBG-0.5-A,Southern Subtropics Big Game Food Plot Mix - 1/2 Acre,,1202.48,8,18,PB-GAME,Big Game Food Plot &amp; Forage Mix,"All Seed, Food Plot Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/big-game-food-plot-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Game-1.webp,70,
PB-PNWHB-5-LB,Pacific Northwest Honey Bee Pasture Mix - 5000 ft²,,1201.72,15,21,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,70,
PB-PPT,Pretty Prairie Tallgrass Mix - 10 lbs,,1187.03,2,5,PB-SGPR,Shortgrass Prairie Seed Mix,"All Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/shortgrass-prairie-mix/,84.99,https://naturesseed.com/wp-content/uploads/2025/11/Shortgrass.png,40,
PB-PNWAL,Pacific Northwest Alpaca/Llama Forage Mix - 2.5 Acres,,1186.58,4,4,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,60,
PB-SWDD-2.5-A,Southwest Desert Dryland Pasture Mix - 2.5 Acres,,1170.43,1,1,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,80,
PB-TORT-1000-F-OLD,"Tortoise Forage Mix - 1000 ft², Standard Mix",,1163.48,17,19,PB-TORT,Tortoise Forage &amp; Habitat Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,50,
S-TRRE-1000-F-OLD,White Dutch Clover Seeds - 1000 ft²,,1158.07,56,61,S-DUTCH-5-LB-ADDON,"White Dutch Clover Soil & Grass Health Boost - 5lb for 10,000 Sq ft.",All Seed,https://naturesseed.com/product/white-dutch-clover-soil-grass-health-boost-5lb-for-10000-sq-ft/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/s-trre1_1.jpg,60,
PB-SSPB,Southern Subtropics Poultry Forage Mix - 2.5 Acres,,1154.3,20,25,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PB-CHIX-5-LB-OLD,Poultry Forage Mix,,1150.87,9,15,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PG-DAGL-1-LB-OLD,Orchard Grass Seed - 1 lb,,1149.5,74,182,PG-DAGL,Orchardgrass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/orchardgrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/Orchardgrass-Crop.png,60,
PB-SWDS-2.5-A,Southwest Desert Sheep Forage Mix - 1/2 Acre,,1148.59,7,9,PB-SHEP-SO,Warm Season Sheep Pasture Mix,"Sheep Pastures, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-warm-season/,69.99,https://naturesseed.com/wp-content/uploads/2025/07/SSHEEP.webp,100,
PB-SSPB-5000-F,Southern Subtropics Poultry Forage Mix - 5000 ft²,,1146.71,20,20,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PB-PNWAL-1-A,Pacific Northwest Alpaca/Llama Forage Mix - 1 Acre,,1131.36,6,6,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,60,
PG-TRFR-10-LB,Strawberry Clover - 10 lbs,,1127.4,8,11,PB-CLV,Pasture Clover Mix for Waterfowl Food Plots,"Pasture Seed, Food Plot Seed",https://naturesseed.com/products/pasture-seed/pasture-clover-mix-for-duck-quail-food-plot/,47.99,https://naturesseed.com/wp-content/uploads/2025/12/Duck-and-Quail-Food-Plot.webp,40,
PG-PAVI-50-LB-OLD,Switchgrass Seed - 50 lbs,,1125.0,2,2,PG-PAVI,Switchgrass (Panicum Virgatum) Seed,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/switchgrass-seed/,84.99,https://naturesseed.com/wp-content/uploads/2025/07/Switchgrass.png,40,
S-DUTCH-5-LB-OLD,White Dutch Clover Seeds,,1124.75,17,25,S-DUTCH-5-LB-ADDON,"White Dutch Clover Soil & Grass Health Boost - 5lb for 10,000 Sq ft.",All Seed,https://naturesseed.com/product/white-dutch-clover-soil-grass-health-boost-5lb-for-10000-sq-ft/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/s-trre1_1.jpg,60,
PG-PHPR-10-LB-OLD,Timothy Grass Seed - 10 lbs,,1108.25,17,18,PG-PHPR,Timothy Grass Hay Seed,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/timothy/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TimothyGrass-plant.jpg,80,
TURF-NW-500-F,Northwest Seed Mix - 500 ft²,,1105.51,22,23,PB-SHEP-N,Cool Season Sheep Pasture Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Pasture Seed, Sheep Pastures",https://naturesseed.com/products/pasture-seed/sheep-pasture-forage-mix-cold-season/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/NSHEEP-1.png,30,
PB-MWEC-10-LB,Mid-West/Mid-Atlantic Erosion Control Mix - 1/2 Acre,,1099.26,12,13,CV-CNEC,California Native Erosion Control Mix,"Specialty Seed, All Seed, California Collection",https://naturesseed.com/products/specialty-seed/california-native-erosion-control-mix/,205.88,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_2497091527-scaled-1.jpg,50,
WB-CN,California Native Wildflower Mix - 0.5 lb,,1074.79,12,22,WB-CALN,California Native Wildflower Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",https://naturesseed.com/products/wildflower-seed/california-native-wildflower-mix/,41.16,https://naturesseed.com/wp-content/uploads/2025/07/CANative_5.png,90,
PB-GPAL,Great Plains Alpaca/Llama Forage Mix - 2.5 Acres,,1072.55,2,3,PB-ALPACA,Llama & Alpaca Pasture Seed Mix,"Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/ALPACA.webp,50,
PB-PSWBC-50-LB,Pacific Southwest Beef Cattle Forage Mix - 2.5 Acres,,1065.6,3,4,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,100,
PG-FEID-10-LB,"Idaho Fescue - 10 lbs, Native Variety",,1062.78,4,6,PB-CABIN,Native Cabin Grass Seed Mix,"Food Plot Seed, Specialty Seed",https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/,43.99,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,40,
S-FERUC-25-LB,Chewings Fescue Grass - 50 lbs,,1054.98,5,5,PG-FEAR2,Tall Fescue Grass Seed,"Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/tall-fescue/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/TallFescue-Crop.jpg,80,
PB-SWTG-2.5-A,Southwest Transitional Goat Forage Mix - 2.5 Acres,,1053.06,3,3,PB-GOAT-TR,Goat Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Goat Pasture Seed",https://naturesseed.com/products/pasture-seed/goat-pasture-forage-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/TGOAT.webp,80,
PB-GOAT-S-OLD,Southern Goat Pasture Mix,,1035.39,8,11,PB-GOAT-TR,Goat Pasture &amp; Forage Mix,"Pasture Seed, All Seed, Goat Pasture Seed",https://naturesseed.com/products/pasture-seed/goat-pasture-forage-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/TGOAT.webp,80,
PB-MWEC-1-A,Mid-West/Mid-Atlantic Erosion Control Mix - 2.5 Acres,,1030.43,2,4,CV-CNEC,California Native Erosion Control Mix,"Specialty Seed, All Seed, California Collection",https://naturesseed.com/products/specialty-seed/california-native-erosion-control-mix/,205.88,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_2497091527-scaled-1.jpg,50,
PB-SWTPB-0.5-A,Southwest Transitional Poultry Forage Mix - 1/2 Acre,,1025.18,8,10,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PG-CHIN,Forage Chicory - 1 lb,,1022.62,42,104,PB-TORT,Tortoise Forage &amp; Habitat Mix,"All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/tortoise-forage-mix/,44.99,https://naturesseed.com/wp-content/uploads/2025/07/TURTOISE-1.png,40,
