Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
pb-glbc-1-a,Great Lakes/New England Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great lakes/new england beef cattle forage blend,85.11,146,0.0,0.0,0.0
gla_186368,Southern Sports Turf Mix,lawn seed,,84.01,60,0.0,0.0,0.0
gla_406904,Buffalograss Seed Blend 5000 sq. ft.,lawn seed,grass seed by state,83.27,41,0.0,0.0,0.0
gla_182798,Northwest Wildflower Mix,wildflower seed,regional wildflower mixes,83.25,53,0.0,0.0,0.0
gla_183550,Southwest Desert Horse Forage Mix,pasture seed,horse pasture seed,82.26,60,0.0,0.0,0.0
gla_445499,"Nature's Seed Pasture & Forage 25 Lb for 25,000 Sq Ft Switchgrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,81.99,84,0.0,0.0,0.0
pb-pnwwfr-0.5-a,Pacific Northwest Wildfire Resistant Blend - Specialty Seed | Nature's Seed,specialty seed,pacific northwest wildfire resistant blend,81.44,65,0.0,0.0,0.0
gla_446601,"Nature's Seed Pasture & Forage 25 Lb for 25,000 Sq Ft Timothy Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,79.46,49,0.0,0.0,0.0
gla_452708,"Pet and Children Bluegrass Blend – Sustainable Turf, Low Maintenance Lawn Seed 25 Lb for 5,000 Sq Ft | Nature's Seed",lawn / turf seeds,home lawn/yard grass seed,78.77,34,0.0,0.0,0.0
gla_355788,Cowpeas,pasture seed,individual pasture species,78.6,115,0.0,0.0,0.0
pb-gpbc-2.5-a,Great Plains Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains beef cattle forage blend,77.66,170,0.0,0.0,0.0
gla_185665,Arizona Fescue Seed Mix - 10 Pound Bag,sale,individual pasture species,76.7,77,0.0,0.0,0.0
gla_185153,Great Lakes/New England Upland Game Food Plot Mix,sale,pasture seed by region,76.29,99,0.0,0.0,0.0
gla_455935,"Nature's Seed Pasture Seed Mix 20 lb Bag - Covers 100,000 Sq Ft - Fast Growing Forage Blend",food plot,food plot mix wildlife attractor,75.8,55,0.0,0.0,0.0
gla_184601,Mountain Brome,pasture seed,individual pasture species,75.54,74,0.0,0.0,0.0
pb-nbm-50-lb,Native Bioswale Mix - Specialty Seed | Nature's Seed,specialty seed,native bioswale mix,74.33,114,0.0,0.0,0.0
gla_446805,"Nature's Seed Pasture & Forage 5 Lb for 5,000 Sq Ft Switchgrass Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,71.74,88,0.0,0.66,0.01
pb-ssd-1-a,Southern Subtropics Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,southern subtropics dryland pasture blend,71.06,72,0.0,0.0,0.0
gla_451061,"Microclover Seed (Trifolium) | Self-Fertilizing Lawn Alter Native | 2 Lb for 2,000 Sq Ft | Nature's Seed",specialty seeds,clover seeds,70.45,27,0.0,0.0,0.0
gla_185307,Hairy Vetch,pasture seed,individual pasture species,69.7,231,0.0,0.0,0.0
gla_183865,Great Lakes/New England Goat Forage Mix,pasture seed,goat pasture seed,69.66,29,0.0,0.0,0.0
gs1_000011,Nature's Seed Any Region specialty 10 LB Prairie Native Drought-Tolerant & Erosion Control Mix Drought-Tolerant & Erosion,specialty seeds,regional specialty seed mix,69.06,56,0.0,0.0,0.0
gla_446803,"Blue Grama Grass Seed 100% Native, Drought-Tolerant Pasture Forage 25 Lb for 50,000 Sq Ft | Nature's Seed",pasture seeds,single species pasture seeds,68.87,57,0.0,0.0,0.0
gla_185390,Hybrid Pearl Millet,pasture seed,individual pasture species,68.66,131,0.0,0.0,0.0
gla_183571,Great Plains Horse Forage Mix,sale,horse pasture seed,68.02,39,0.0,0.0,0.0
turf-wht-2000-f,TWCA Water-Wise Heavy Traffic Mix - Grass Seed | Nature's Seed,grass seed,twca water-wise heavy traffic mix,67.61,131,0.0,1.02,0.02
gla_185282,Wheat,pasture seed,individual pasture species,67.32,79,0.0,0.0,0.0
gla_187329,False Sunflower,heartland collection,,67.31,52,0.0,0.0,0.0
pb-swds-0.5-a,Southwest Desert Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest desert sheep forage blend,67.18,92,0.0,0.0,0.0
gla_455518,"Nature's Seed Full Potential Food Plot Seed Mix 20 lb Bag - Covers 2,000 Sq Ft - Deer & Wildlife Forage Blend",food plot,food plot mix wildlife attractor,66.98,41,0.0,0.0,0.0
pb-gpb,Great Plains Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,great plains bison forage mix,66.33,103,0.0,0.0,0.0
gla_355940,Cudweed Sagewort,specialty seed,specialty seed by region,66.28,76,0.0,0.0,0.0
gs1_000004,"Nature's Seed Lawn Bluegrass Cold-tolerant & Drought Tolerant 25 Lb of Grass Seed for 5,000 Sq Ft | TWCA Certified Ideal for Transitional/Northern US",lawn seeds,water-wise lawn seeds (twca certified),66.21,53,0.0,0.0,0.0
gla_183464,Parry Penstemon,wildflower seed,wildflower seed by region,65.51,205,0.0,0.0,0.0
gla_184291,Pacific Northwest Honey Bee Pasture Mix,sale,honey bee blends,65.31,40,0.0,0.0,0.0
gla_182935,Pacific Southwest Dryland Pasture Mix,specialty seed,dryland pasture blends,65.01,37,0.0,0.4,0.01
pb-ssdc-2.5-a,Southern Subtropics Dairy Cow Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics dairy cow forage blend,64.82,106,0.0,0.0,0.0
gla_185266,White Mustard,sale,individual pasture species,64.42,92,0.0,0.0,0.0
pb-iwbg-2.5-a,Intermountain West Big Game Food Plot Blend - Specialty Seed | Nature's Seed,specialty seed,intermountain west big game food plot blend,64.18,131,0.0,0.0,0.0
gla_441161,Buckwheat,pasture seed,individual pasture species,64.07,88,0.0,0.0,0.0
gla_440343,Native Dryland & Erosion Control Mix,specialty seed,dryland pasture blends,63.83,43,0.0,0.0,0.0
turf-wht-1000-f,TWCA Water-Wise Heavy Traffic Mix - Grass Seed | Nature's Seed,grass seed,twca water-wise heavy traffic mix,63.56,99,0.0,0.0,0.0
gla_184929,Southwest Transitional Erosion Control Mix,specialty seed,erosion control blends,63.47,48,0.0,0.0,0.0
pg-pose-n-1-lb,One Sided Bluegrass - Pasture Seed | Nature's Seed,pasture seed,one sided bluegrass,63.16,51,0.0,0.0,0.0
gla_184660,Sideoats Grama,pasture seed,individual pasture species,62.86,78,0.0,0.0,0.0
pb-gpbc-1-a,Great Plains Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains beef cattle forage blend,62.73,111,0.0,0.0,0.0
gla_355852,Prairie Dropseed,pasture seed,individual pasture species,62.42,63,0.0,0.0,0.0
turf-sst,Southern Sports Turf Mix Grass Seed | Nature's Seed,grass seed,southern sports turf mix,61.36,80,0.0,0.0,0.0
gla_184861,Western Low-Water Use Pollinator Mix,sale,pollinator seed blends,60.95,31,0.0,0.0,0.0
gla_455933,"Nature's Seed Premium Shade Grass Seed Mix 5 lb Bag - Covers 25,000 sq ft - Dense Lawn for Shady Areas",food plot,food plot mix wildlife attractor,60.13,37,0.0,0.0,0.0
gla_455519,"Nature's Seed Full Potential Food Plot Seed Mix 50 lb Bag - Covers 5,000 Sq Ft - Deer & Wildlife Forage Blend",food plot,food plot mix wildlife attractor,60.09,18,0.0,0.0,0.0
pg-cyda-25-lb,Common Bermudagrass - Pasture Seed | Nature's Seed,pasture seed,common bermudagrass,60.01,164,0.0,0.0,0.0
gla_185347,Triticale,sale,individual pasture species,59.2,88,0.0,0.0,0.0
gla_184058,Rocky Mountain Iris,wildflower seed,wildflower seed by region,59.16,38,0.0,0.0,0.0
pg-pegl2-50-lb,Hybrid Pearl Millet - Pasture Seed | Nature's Seed,pasture seed,hybrid pearl millet,58.5,171,0.0,0.0,0.0
gla_187371,Golden Alexander,heartland collection,wildflower seed by region,58.44,77,0.0,0.0,0.0
pg-erfa-50-lb,California Buckwheat - Specialty Seed | Nature's Seed,specialty seed,california buckwheat,57.8,163,0.0,0.0,0.0
gs1_000006,Nature's Seed planting aid 2 LB Seashore Bentgrass Filler-Free Curated Varieties by Seed Experts,specialty seeds,lawn alternative/enhancer,57.56,56,0.0,0.0,0.0
gla_185644,Blue Wildrye,sale,individual pasture species,56.84,146,0.0,0.0,0.0
gla_446600,"Nature's Seed Pasture & Forage 50 Lb for 50,000 Sq Ft Timothy Filler-Free Curated Varieties by Seed Experts",pasture seeds,single species pasture seeds,56.69,32,0.0,0.0,0.0
turf-pano-2000-f,Bahia Grass Seed Blend - Grass Seed | Nature's Seed,grass seed,bahia grass seed blend,56.08,141,0.0,0.0,0.0
gla_184501,Meadow Brome,pasture seed,individual pasture species,55.78,26,0.0,0.0,0.0
pb-swtbc-0.5-a,Southwest Transitional Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional beef cattle forage blend,55.71,85,0.0,0.0,0.0
gla_445212,"Nature's Seed Buffalograss 5 Lb bag of seed mix for 5,000 Sq. ft | Forage and Pasture special, No Fillers",uncategorized,,54.15,84,0.0,0.0,0.0
gla_185225,Southern Subtropics Big Game Food Plot Mix,specialty seed,specialty seed by region,53.99,39,0.0,0.15,0.0
gla_185349,Triticale,sale,individual pasture species,53.6,71,0.0,0.0,0.0
gla_185478,Great Lakes/New England Poultry Forage Mix,pasture seed,poultry pastures,53.52,55,0.0,0.0,0.0
gla_184491,Red Clover,pasture seed,individual pasture species,53.09,69,0.0,0.0,0.0
pb-gpbc-0.5-a,Great Plains Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains beef cattle forage blend,53.04,104,0.0,0.0,0.0
gla_184635,Crimson Clover,pasture seed,individual pasture species,52.95,33,0.0,0.0,0.0
pb-gppb-1500-f,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,52.87,89,0.0,0.0,0.0
gla_447331,"California Native Grass Seed Mix - Habitat Restoration Bunchgrass - 25 lb, Covers 50,000 sq ft | Nature's Seed",pasture seeds,pasture seeds mix,52.35,17,0.0,0.0,0.0
pb-glbg-2.5-a,Great Lakes/New England Big Game Food Plot Blend - Specialty Seed | Nature's Seed,specialty seed,great lakes/new england big game food plot blend,52.33,69,0.0,0.0,0.0
gla_187059,Spring Fever Wildflower Mix,wildflower seeds,regional wildflower mixes,52.22,175,0.0,0.0,0.0
gla_183824,Great Plains Goat Forage Mix,sale,goat pastures,52.17,34,0.0,0.0,0.0
gla_185422,Butterfly Milkweed,wildflower seeds,wildflower seed by region,52.11,29,0.0,0.0,0.0
gs2_000006,Nature's Seed planting aid 1 LB Seashore Bentgrass Filler-Free Curated Varieties by Seed Experts,specialty seeds,lawn alternative/enhancer,52.08,66,0.0,0.0,0.0
gla_186369,Southern Sports Turf Mix,lawn seed,,52.04,41,0.0,0.0,0.0
pb-satd-0.5-a,South-Atlantic Transitional Dryland Pasture Blend - Specialty Seed | Nature's Seed,specialty seed,south-atlantic transitional dryland pasture blend,51.53,48,0.0,0.0,0.0
pg-arca2-10-lb,California Sagebrush - Specialty Seed | Nature's Seed,specialty seed,california sagebrush,51.28,81,0.0,0.0,0.0
pb-sss-1-a,Southern Subtropics Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southern subtropics sheep forage blend,50.78,53,0.0,0.0,0.0
gla_447271,"California Bentgrass – Low-Water, Warm-Season Native Grass Seed for the Southwest 10 Lb for 20,000 Sq Ft | Nature's Seed",specialty seeds,lawn alternative/enhancer,50.44,89,0.0,0.0,0.0
gla_183649,Pacific Southwest Beef Cattle Forage Mix,sale,cattle pastures,50.43,46,0.0,0.0,0.0
